Year,Country Code,Current Amount2,Aid_class,Funding Agency Acronym,Region
2006,MX,17100,Admin Costs,USAID,Western Hemisphere
2006,MX,95350,Admin Costs,USAID,Western Hemisphere
2006,MX,123354,Admin Costs,USAID,Western Hemisphere
2006,MX,450,Admin Costs,USAID,Western Hemisphere
2006,MX,22564,Admin Costs,USAID,Western Hemisphere
2006,MX,98094,Admin Costs,USAID,Western Hemisphere
2006,MX,61,Admin Costs,USAID,Western Hemisphere
2006,MX,6074,Admin Costs,USAID,Western Hemisphere
2006,MX,55974,Admin Costs,USAID,Western Hemisphere
2006,MX,4214,Admin Costs,USAID,Western Hemisphere
2006,MX,40710,Admin Costs,USAID,Western Hemisphere
2006,MX,16800,Admin Costs,USAID,Western Hemisphere
2006,MX,8145,Admin Costs,USAID,Western Hemisphere
2006,MX,202626,Admin Costs,USAID,Western Hemisphere
2006,MX,348808,Admin Costs,USAID,Western Hemisphere
2006,MX,322984,Admin Costs,USAID,Western Hemisphere
2006,MX,827,Admin Costs,USAID,Western Hemisphere
2006,MX,352773,Admin Costs,USAID,Western Hemisphere
2006,MX,104294,Admin Costs,USAID,Western Hemisphere
2006,MX,21000,Admin Costs,IAF,Western Hemisphere
2006,MX,3767,Admin Costs,USAID,Western Hemisphere
2006,MX,6069,Admin Costs,USAID,Western Hemisphere
2006,MX,3193,Admin Costs,USAID,Western Hemisphere
2006,MX,310361,Admin Costs,USAID,Western Hemisphere
2006,MX,1788246,Admin Costs,USAID,Western Hemisphere
2006,MX,2000,Admin Costs,USAID,Western Hemisphere
2006,MX,2860785,Admin Costs,USAID,Western Hemisphere
2006,MX,25875,Admin Costs,USAID,Western Hemisphere
2006,MX,19366,Admin Costs,USAID,Western Hemisphere
2006,MX,226177,Admin Costs,USAID,Western Hemisphere
2006,MX,8872,Admin Costs,USAID,Western Hemisphere
2006,MX,721090,Admin Costs,USAID,Western Hemisphere
2006,MX,1296852,Admin Costs,USAID,Western Hemisphere
2006,MX,4074517,Admin Costs,USAID,Western Hemisphere
2006,MX,3464808,Admin Costs,USAID,Western Hemisphere
2006,MX,25144,Admin Costs,USAID,Western Hemisphere
2006,MX,123744,Admin Costs,USAID,Western Hemisphere
2006,MX,27010,Admin Costs,USAID,Western Hemisphere
2006,MX,606148,Admin Costs,USAID,Western Hemisphere
2006,MX,2092,Admin Costs,USAID,Western Hemisphere
2006,MX,127251,Admin Costs,USAID,Western Hemisphere
2006,MX,501,Humanitarian,USAID,Western Hemisphere
2006,MX,345020,Agriculture,USAID,Western Hemisphere
2006,MX,2459,Agriculture,USAID,Western Hemisphere
2006,MX,12008,Agriculture,USAID,Western Hemisphere
2006,MX,35120,Agriculture,USAID,Western Hemisphere
2006,MX,6493,Agriculture,USAID,Western Hemisphere
2006,MX,225180,Agriculture,USAID,Western Hemisphere
2006,MX,2213,Economic Growth,USAID,Western Hemisphere
2006,MX,15479,Education,USAID,Western Hemisphere
2006,MX,750000,Governance,USAID,Western Hemisphere
2006,MX,1805,Governance,USAID,Western Hemisphere
2006,MX,39163,Governance,USAID,Western Hemisphere
2006,MX,121018,Governance,USAID,Western Hemisphere
2006,MX,1300,Health and Population,USAID,Western Hemisphere
2006,MX,39232,Health and Population,USAID,Western Hemisphere
2006,MX,653,Health and Population,USAID,Western Hemisphere
2006,MX,378,Health and Population,USAID,Western Hemisphere
2006,MX,32,Health and Population,USAID,Western Hemisphere
2006,MX,14879,Health and Population,USAID,Western Hemisphere
2006,MX,393,Health and Population,USAID,Western Hemisphere
2006,MX,-269,Health and Population,USAID,Western Hemisphere
2006,MX,17698,Health and Population,USAID,Western Hemisphere
2006,MX,-486,Health and Population,USAID,Western Hemisphere
2006,MX,756407,Humanitarian,USAID,Western Hemisphere
2006,MX,449925,Humanitarian,State,Western Hemisphere
2006,MX,36964003,Humanitarian,State,Western Hemisphere
2006,MX,153250,Humanitarian,USAID,Western Hemisphere
2006,MX,343027,Humanitarian,USAID,Western Hemisphere
2006,MX,54176,Humanitarian,USAID,Western Hemisphere
2006,MX,-5468,Humanitarian,USAID,Western Hemisphere
2006,MX,43830,Humanitarian,USAID,Western Hemisphere
2006,MX,-66,Humanitarian,USAID,Western Hemisphere
2006,MX,278427,Humanitarian,USAID,Western Hemisphere
2006,MX,60948,Infrastructure,USAID,Western Hemisphere
2006,MX,-30876,Other,USAID,Western Hemisphere
2006,MX,22428,Other,USAID,Western Hemisphere
2006,MX,44000,Other,DOI,Western Hemisphere
2006,MX,46000,Other,DOI,Western Hemisphere
2006,MX,30000,Other,DOI,Western Hemisphere
2006,MX,35000,Other,DOI,Western Hemisphere
2006,MX,35000,Other,DOI,Western Hemisphere
2006,MX,30000,Other,DOI,Western Hemisphere
2006,MX,25248,Other,DOI,Western Hemisphere
2006,MX,40000,Other,DOI,Western Hemisphere
2006,MX,25000,Other,DOI,Western Hemisphere
2006,MX,39930,Other,DOI,Western Hemisphere
2006,MX,37371,Other,DOI,Western Hemisphere
2006,MX,5080,Other,DOI,Western Hemisphere
2006,MX,20000,Other,DOI,Western Hemisphere
2006,MX,30000,Other,DOI,Western Hemisphere
2006,MX,50000,Other,DOI,Western Hemisphere
2006,MX,32000,Other,DOI,Western Hemisphere
2006,MX,24989,Other,DOI,Western Hemisphere
2006,MX,77987,Other,DOI,Western Hemisphere
2006,MX,35000,Other,DOI,Western Hemisphere
2006,MX,30000,Other,DOI,Western Hemisphere
2006,MX,44809,Other,DOI,Western Hemisphere
2006,MX,66025,Other,DOI,Western Hemisphere
2006,MX,117000,Other,DOI,Western Hemisphere
2006,MX,205400,Other,DOI,Western Hemisphere
2006,MX,96558,Other,DOI,Western Hemisphere
2006,MX,45300,Other,DOI,Western Hemisphere
2006,MX,98424,Other,DOI,Western Hemisphere
2006,MX,40000,Other,DOI,Western Hemisphere
2006,MX,26000,Other,DOI,Western Hemisphere
2006,MX,94600,Other,DOI,Western Hemisphere
2006,MX,11600,Other,DOI,Western Hemisphere
2006,MX,66000,Other,DOI,Western Hemisphere
2006,MX,60000,Other,DOI,Western Hemisphere
2006,MX,73120,Other,DOI,Western Hemisphere
2006,MX,9000,Other,DOI,Western Hemisphere
2006,MX,68090,Other,DOI,Western Hemisphere
2006,MX,190000,Other,DOI,Western Hemisphere
2006,MX,124000,Other,DOI,Western Hemisphere
2006,MX,24718,Other,DOI,Western Hemisphere
2006,MX,100000,Other,DOI,Western Hemisphere
2006,MX,240456,Other,DOI,Western Hemisphere
2006,MX,171343,Other,DOI,Western Hemisphere
2006,MX,174000,Other,DOI,Western Hemisphere
2006,MX,22000,Other,DOI,Western Hemisphere
2006,MX,100168,Other,DOI,Western Hemisphere
2006,MX,99598,Other,DOI,Western Hemisphere
2006,MX,251115,Other,DOI,Western Hemisphere
2006,MX,40021,Other,DOI,Western Hemisphere
2006,MX,98746,Other,DOI,Western Hemisphere
2006,MX,155696,Other,DOI,Western Hemisphere
2006,MX,306979,Other,DOI,Western Hemisphere
2006,MX,293675,Other,DOI,Western Hemisphere
2006,MX,147224,Other,DOI,Western Hemisphere
2006,MX,76154,Other,DOI,Western Hemisphere
2006,MX,108169,Other,DOI,Western Hemisphere
2006,MX,386868,Other,DOI,Western Hemisphere
2006,MX,57732,Other,DOI,Western Hemisphere
2006,MX,14620,Other,DOI,Western Hemisphere
2006,MX,159600,Other,DOI,Western Hemisphere
2006,MX,234040,Other,DOI,Western Hemisphere
2006,MX,1480,Other,USAID,Western Hemisphere
2006,MX,954,Other,USAID,Western Hemisphere
2006,MX,71445,Other,USAID,Western Hemisphere
2006,MX,48198,Other,USAID,Western Hemisphere
2006,MX,692392,Agriculture,USAID,Western Hemisphere
2006,MX,149536,Education,IAF,Western Hemisphere
2006,MX,119550,Education,IAF,Western Hemisphere
2006,MX,85120,Education,IAF,Western Hemisphere
2006,MX,99888,Governance,IAF,Western Hemisphere
2006,MX,60000,Governance,IAF,Western Hemisphere
2006,MX,97790,Governance,IAF,Western Hemisphere
2006,MX,116508,Governance,IAF,Western Hemisphere
2006,MX,149816,Governance,USAID,Western Hemisphere
2006,MX,22000,Health and Population,IAF,Western Hemisphere
2006,MX,133900,Health and Population,IAF,Western Hemisphere
2006,MX,68500,Health and Population,IAF,Western Hemisphere
2006,MX,71000,Health and Population,IAF,Western Hemisphere
2006,MX,36582,Health and Population,IAF,Western Hemisphere
2006,MX,83334,Health and Population,IAF,Western Hemisphere
2006,MX,104200,Health and Population,IAF,Western Hemisphere
2006,MX,52572,Health and Population,IAF,Western Hemisphere
2006,MX,57668,Health and Population,USAID,Western Hemisphere
2006,MX,613202,Health and Population,USAID,Western Hemisphere
2006,MX,104871,Health and Population,IAF,Western Hemisphere
2006,MX,34500,Health and Population,IAF,Western Hemisphere
2006,MX,62700,Health and Population,IAF,Western Hemisphere
2006,MX,54347,Other,State,Western Hemisphere
2006,MX,70000,Other,State,Western Hemisphere
2006,MX,52750,Other,State,Western Hemisphere
2006,MX,84717,Other,State,Western Hemisphere
2006,MX,65000,Other,State,Western Hemisphere
2006,MX,350000,Agriculture,USAID,Western Hemisphere
2006,MX,233175,Health and Population,State,Western Hemisphere
2006,MX,150000,Health and Population,State,Western Hemisphere
2006,MX,150000,Health and Population,State,Western Hemisphere
2006,MX,150000,Health and Population,USAID,Western Hemisphere
2006,MX,484925,Health and Population,USAID,Western Hemisphere
2006,MX,198500,Health and Population,USAID,Western Hemisphere
2006,MX,321151,Health and Population,USAID,Western Hemisphere
2006,MX,300000,Health and Population,USAID,Western Hemisphere
2006,MX,400000,Health and Population,USAID,Western Hemisphere
2006,MX,135,Health and Population,USAID,Western Hemisphere
2006,MX,195500,Health and Population,USAID,Western Hemisphere
2006,MX,263788,Health and Population,USAID,Western Hemisphere
2006,MX,162509,Health and Population,USAID,Western Hemisphere
2006,MX,270344,Health and Population,USAID,Western Hemisphere
2006,MX,375000,Health and Population,USAID,Western Hemisphere
2006,MX,454542,Health and Population,USAID,Western Hemisphere
2006,MX,365000,Humanitarian,USAID,Western Hemisphere
2006,MX,183000,Humanitarian,USAID,Western Hemisphere
2006,MX,85391,Humanitarian,USAID,Western Hemisphere
2006,MX,166376,Humanitarian,USAID,Western Hemisphere
2006,MX,300000,Humanitarian,USAID,Western Hemisphere
2006,MX,50000,Humanitarian,USAID,Western Hemisphere
2006,MX,88050,Humanitarian,IAF,Western Hemisphere
2006,MX,117500,Humanitarian,IAF,Western Hemisphere
2006,MX,1522117,Humanitarian,USAID,Western Hemisphere
2006,MX,147843,Humanitarian,USAID,Western Hemisphere
2006,MX,2088000,Humanitarian,USAID,Western Hemisphere
2006,MX,-650,Humanitarian,USAID,Western Hemisphere
2006,MX,45250,Humanitarian,State,Western Hemisphere
2006,MX,92272,Humanitarian,USAID,Western Hemisphere
2006,MX,4427,Humanitarian,USAID,Western Hemisphere
2006,MX,-4122,Humanitarian,USAID,Western Hemisphere
2006,MX,1731192,Humanitarian,USAID,Western Hemisphere
2006,MX,34986,Other,TDA,Western Hemisphere
2006,MX,85000,Other,TDA,Western Hemisphere
2006,MX,341070,Other,TDA,Western Hemisphere
2006,MX,4491,Other,TDA,Western Hemisphere
2006,MX,54000,Governance,TDA,Western Hemisphere
2006,MX,79700,Governance,TDA,Western Hemisphere
2006,MX,180000,Governance,TDA,Western Hemisphere
2006,MX,115765,Governance,TDA,Western Hemisphere
2006,MX,185000,Governance,TDA,Western Hemisphere
2006,MX,213930,Governance,TDA,Western Hemisphere
2006,MX,17482,Governance,TDA,Western Hemisphere
2006,MX,25000,Governance,TDA,Western Hemisphere
2006,MX,18460,Governance,TDA,Western Hemisphere
2006,MX,25507,Governance,TDA,Western Hemisphere
2006,MX,235705,Governance,TDA,Western Hemisphere
2006,MX,30922,Governance,AGR,Western Hemisphere
2006,MX,54000,Governance,AGR,Western Hemisphere
2006,MX,112000,Governance,AGR,Western Hemisphere
2006,MX,45000,Governance,AGR,Western Hemisphere
2006,MX,20000,Governance,EPA,Western Hemisphere
2006,MX,589424,Governance,PC,Western Hemisphere
2006,MX,468046,Governance,USAID,Western Hemisphere
2006,MX,8000,Economic Growth,DOD,Western Hemisphere
2006,MX,15166000,Economic Growth,DOD,Western Hemisphere
2007,MX,30875,Commodity Assistance,USAID,Western Hemisphere
2007,MX,850,Commodity Assistance,USAID,Western Hemisphere
2007,MX,276377,Commodity Assistance,USAID,Western Hemisphere
2007,MX,28102,Commodity Assistance,USAID,Western Hemisphere
2007,MX,2987,Commodity Assistance,USAID,Western Hemisphere
2007,MX,450,Commodity Assistance,USAID,Western Hemisphere
2007,MX,20173,Commodity Assistance,USAID,Western Hemisphere
2007,MX,51969,Commodity Assistance,USAID,Western Hemisphere
2007,MX,722,Commodity Assistance,USAID,Western Hemisphere
2007,MX,5303,Commodity Assistance,USAID,Western Hemisphere
2007,MX,54427,Commodity Assistance,USAID,Western Hemisphere
2007,MX,2925,Commodity Assistance,USAID,Western Hemisphere
2007,MX,10536,Commodity Assistance,USAID,Western Hemisphere
2007,MX,33600,Commodity Assistance,USAID,Western Hemisphere
2007,MX,7086,Commodity Assistance,USAID,Western Hemisphere
2007,MX,163453,Commodity Assistance,USAID,Western Hemisphere
2007,MX,188386,Commodity Assistance,USAID,Western Hemisphere
2007,MX,213947,Commodity Assistance,USAID,Western Hemisphere
2007,MX,4206,Commodity Assistance,USAID,Western Hemisphere
2007,MX,9009,Commodity Assistance,USAID,Western Hemisphere
2007,MX,30113,Agriculture,USAID,Western Hemisphere
2007,MX,404823,Agriculture,USAID,Western Hemisphere
2007,MX,13561,Agriculture,USAID,Western Hemisphere
2007,MX,-3130,Agriculture,USAID,Western Hemisphere
2007,MX,36000,Agriculture,USAID,Western Hemisphere
2007,MX,1044,Agriculture,USAID,Western Hemisphere
2007,MX,27110,Agriculture,USAID,Western Hemisphere
2007,MX,25016,Agriculture,USAID,Western Hemisphere
2007,MX,2440020,Agriculture,USAID,Western Hemisphere
2007,MX,121936,Agriculture,USAID,Western Hemisphere
2007,MX,50000,Agriculture,USAID,Western Hemisphere
2007,MX,1876281,Agriculture,USAID,Western Hemisphere
2007,MX,2392789,Agriculture,USAID,Western Hemisphere
2007,MX,24178,Agriculture,USAID,Western Hemisphere
2007,MX,-1009,Agriculture,USAID,Western Hemisphere
2007,MX,147630,Health and Population,USAID,Western Hemisphere
2007,MX,-540,Health and Population,USAID,Western Hemisphere
2007,MX,590716,Health and Population,USAID,Western Hemisphere
2007,MX,1238270,Health and Population,USAID,Western Hemisphere
2007,MX,2851428,Health and Population,USAID,Western Hemisphere
2007,MX,16486,Health and Population,USAID,Western Hemisphere
2007,MX,1894957,Health and Population,USAID,Western Hemisphere
2007,MX,-24178,Health and Population,USAID,Western Hemisphere
2007,MX,77322,Health and Population,USAID,Western Hemisphere
2007,MX,262047,Health and Population,USAID,Western Hemisphere
2007,MX,283938,Health and Population,USAID,Western Hemisphere
2007,MX,-13668,Health and Population,USAID,Western Hemisphere
2007,MX,13074,Health and Population,USAID,Western Hemisphere
2007,MX,2456,Health and Population,USAID,Western Hemisphere
2007,MX,10116,Infrastructure,USAID,Western Hemisphere
2007,MX,254590,Other,USAID,Western Hemisphere
2007,MX,1157,Other,USAID,Western Hemisphere
2007,MX,247453,Other,USAID,Western Hemisphere
2007,MX,200000,Other,USAID,Western Hemisphere
2007,MX,64778,Other,USAID,Western Hemisphere
2007,MX,113967,Other,USAID,Western Hemisphere
2007,MX,15145,Governance,USAID,Western Hemisphere
2007,MX,34500,Governance,USAID,Western Hemisphere
2007,MX,2949,Governance,USAID,Western Hemisphere
2007,MX,1928,Agriculture,USAID,Western Hemisphere
2007,MX,13930,Agriculture,USAID,Western Hemisphere
2007,MX,5584,Agriculture,USAID,Western Hemisphere
2007,MX,1092,Agriculture,USAID,Western Hemisphere
